customer_id,age,state,income,source_system,signup_date
CUS-00001,999,WA,,B,2025-01-28
CUS-00002,999,CA,77381.14,B,2024-09-08
CUS-00003,999,WA,35251.74,B,2023-10-12
CUS-00004,999,NY,88580.0,B,2023-08-09
CUS-00005,999,IL,23824.39,B,2023-09-28
CUS-00006,999,NY ,134532.83,B,2025-04-29
CUS-00007,999,IL,44776.73,B,2023-10-24
CUS-00008,999,WA,21122.02,B,2023-06-16
CUS-00009,999,WA,30489.97,B,2024-10-12
CUS-00010,999,WA,4896.54,B,2024-07-24
CUS-00011,999,IL,55446.48,B,
CUS-00012,999,FL,156601.53,B,2023-08-06
CUS-00013,999,ny,34079.91,B,2025-02-01
CUS-00014,222,FL,14021.97,A,2023-05-22
CUS-00015,50,CA,72309.43,B,2024-11-27
CUS-00016,37,CA,18545.25,A,2024-07-20
CUS-00017,35,NY,253080.53,C,2025-02-26
CUS-00018,61,CA,,B,2023-01-04
CUS-00019,50,TX,27517.5,C,2024-10-02
CUS-00020,32,TX,16275.02,A,2025-09-03
CUS-00021,43,IL,48691.87,B,2024-01-07
CUS-00022,48,NY,22376.71,C,2023-03-22
CUS-00023,38,TX,50764.91,A,2024-07-16
CUS-00024,26,WA,38248.82,A,2024-12-07
CUS-00025,27,IL,1170889.82,A,2023-05-04
CUS-00026,45,WA,53357.38,A,
CUS-00027,48,NY,56489.72,B,2023-09-01
CUS-00028,27,NY ,55249.9,A,2024-02-21
CUS-00029,54,ny,92776.23,A,2023-02-25
CUS-00030,49,ny,46747.9,B,2023-04-22
CUS-00031,48,ny,142317.85,A,2025-06-14
CUS-00032,19,CA,101727.01,C,2025-05-06
CUS-00033,61,WA,129557.63,A,2023-08-07
CUS-00034,49,NY,34121.17,C,2025-03-13
CUS-00035,39,NY ,,B,2025-09-18
CUS-00036,63,NY,180274.11,A,2025-05-23
CUS-00037,49,NY,88412.71,B,2024-11-22
CUS-00038,47,ny,90146.68,C,2024-09-26
CUS-00039,37,IL,78619.28,A,2024-02-10
CUS-00040,63,FL,451110.91,A,
CUS-00041,30,CA,,B,2023-09-29
CUS-00042,40,WA,67653.96,A,2025-05-03
CUS-00043,31,NY,850473.86,B,2025-08-12
CUS-00044,49,CA,39691.68,B,2023-06-09
CUS-00045,27,WA,17641.18,A,2024-06-01
CUS-00046,64,CA,15705.02,B,2023-02-15
CUS-00047,45,FL,11137.89,A,2024-12-23
CUS-00048,48,TX,50272.71,A,2024-08-19
CUS-00049,40,IL,55885.72,B,2025-05-31
CUS-00050,31,CA,169162.83,A,2025-06-14
CUS-00051,38,WA,9500000,A,2025-04-10
CUS-00052,36,IL,69264.04,A,2024-11-16
CUS-00053,47,CA,22749.61,C,
CUS-00054,52,IL,,B,2023-08-22
CUS-00055,71,WA,45651.98,A,2023-12-26
CUS-00056,48,ny,82681.87,B,
CUS-00057,33,FL,109321.3,C,2024-03-20
CUS-00058,41,IL,82290.81,A,2023-07-14
CUS-00059,42,ny,,A,2024-07-05
CUS-00060,63,WA,26130.7,B,2024-11-11
CUS-00061,29,CA,16599.56,C,2023-11-13
CUS-00062,34,TX,,B,2024-01-24
CUS-00063,61,TX,32326.19,B,
CUS-00064,59,ny,23722.76,A,2024-11-22
CUS-00065,36,NY ,257630.34,A,2023-10-18
CUS-00066,38,IL,,B,2023-08-29
CUS-00067,44,NY,,B,2024-09-17
CUS-00068,52,CA,138380.54,C,2024-01-29
CUS-00069,32,WA,,B,2025-07-03
CUS-00070,44,ny,,B,2024-12-13
CUS-00071,37,NY,77955.99,B,2024-04-20
CUS-00072,40,IL,150614.17,B,2024-05-31
CUS-00073,32,NY ,46747.61,A,2023-09-11
CUS-00074,28,FL,11373.72,C,2023-03-21
CUS-00075,41,WA,,B,2024-07-07
CUS-00076,50,TX,113324.14,A,2024-02-22
CUS-00077,38,ny,53103.43,A,2025-08-26
CUS-00078,57,ny,12073.95,B,2023-11-02
CUS-00079,62,ny,6184.5,B,2025-03-30
CUS-00080,45,ny,101360.89,B,2024-11-15
CUS-00081,37,NY ,70032.84,B,2024-06-30
CUS-00082,30,NY,113123.28,A,2025-06-06
CUS-00083,55,WA,67408.38,B,2025-06-19
CUS-00084,43,FL,6749.1,A,2025-02-06
CUS-00085,55,CA,48993.14,B,2025-02-11
CUS-00086,43,TX,364854.29,A,2023-04-28
CUS-00087,47,IL,,B,2025-02-04
CUS-00088,63,TX,59062.35,B,2024-11-24
CUS-00089,45,ny,44755.48,C,2024-10-04
CUS-00090,38,FL,31865.55,A,2025-03-12
CUS-00091,39,ny,194127.83,A,
CUS-00092,51,NY ,208330.19,A,2024-12-25
